CL.,OBJECT,OBJECT VALUE,DOC.NUMBER,TABLE NAME,TABLE KEY,FIELD NAME,CHANGE INDICATOR,TEXT FLAG,UNIT,UNIT.1,CUKY,CUKY.1,NEW VALUE,OLD VALUE,DATA AGING FILTER
200,LIEFERUNG,180017030,3237822,LIKP,2000180017030,VLSTK,U,1,,,,,B,A,
200,LIEFERUNG,180017030,3237822,LIPS,2000180017030000128,KEY,D,1,,,,,,,
200,LIEFERUNG,180017030,3237822,LIKP,2000180017030,TDUHR,U,1,,,,,53240,24600,
200,/SCDL/DELIVERY,F18F8A2E0A9F1EDFBFBC896F120C29CB,3237825,/SCDL/DB_PROCH_I,200F18F8A2E0A9F1EDFBFBC896F120C29CB,KEY,I,1,,,,,,,
200,CHARGE_LM,000000000030003006                          11397,3237826,MCHA,200000000000030003006                          11397,KEY,I,1,,,,,,,
200,LIEFERUNG,180016975,3306194,LIKP,2000180016975,KEY,D,1,,,,,,,
200,LIEFERUNG,180016975,3306194,LIPS,2000180016975000064,KEY,D,1,,,,,,,
200,LIEFERUNG,180016975,3306194,VBPA,2000180016975000000LF,KEY,D,1,,,,,,,
