Date      ,Time    ,Cl.,Event,User  ,Group,Terminal Name       ,Peer         ,Source TA      ,ABAP Source        ,Audit Log Msg. Text                                                                                                             ,Note,First Variable Value for Event                   ,Variable 2,Variable Data for Message       
2/7/2025,12:22:37,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:22:37,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:22:58,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR G4BA /IWNGW/NOTIFICATION started                                                                               ,    ,R3TR G4BA /IWNGW/NOTIFICATION                    ,          ,                                
2/7/2025,12:22:58,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR G4BA /IWNGW/NOTIFICATION started                                                                               ,    ,R3TR G4BA /IWNGW/NOTIFICATION                    ,          ,                                
2/7/2025,12:22:58,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR G4BA /IWNGW/NOTIFICATION started                                                                               ,    ,R3TR G4BA /IWNGW/NOTIFICATION                    ,          ,                                
2/7/2025,12:22:58,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR G4BA /IWNGW/NOTIFICATION started                                                                               ,    ,R3TR G4BA /IWNGW/NOTIFICATION                    ,          ,                                
2/7/2025,12:23:00,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR G4BA /IWNGW/NOTIFICATION started                                                                               ,    ,R3TR G4BA /IWNGW/NOTIFICATION                    ,          ,                                
2/7/2025,12:23:03,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZINTEROP_0001 started                                                                                     ,    ,R3TR IWSG ZINTEROP_0001                          ,          ,                                
2/7/2025,12:23:03,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/INTEROP                       0001 started                                                           ,    ,R3TR IWSV /UI2/INTEROP                       0001,          ,                                
2/7/2025,12:23:05,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR G4BA /IWNGW/NOTIFICATION started                                                                               ,    ,R3TR G4BA /IWNGW/NOTIFICATION                    ,          ,                                
2/7/2025,12:23:16,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZESH_SEARCH_SRV_0001 started                                                                              ,    ,R3TR IWSG ZESH_SEARCH_SRV_0001                   ,          ,                                
2/7/2025,12:23:16,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV ESH_SEARCH_SRV                     0001 started                                                           ,    ,R3TR IWSV ESH_SEARCH_SRV                     0001,          ,                                
2/7/2025,12:23:39,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZINTEROP_0001 started                                                                                     ,    ,R3TR IWSG ZINTEROP_0001                          ,          ,                                
2/7/2025,12:23:39,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/INTEROP                       0001 started                                                           ,    ,R3TR IWSV /UI2/INTEROP                       0001,          ,                                
2/7/2025,12:23:40,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZINTEROP_0001 started                                                                                     ,    ,R3TR IWSG ZINTEROP_0001                          ,          ,                                
2/7/2025,12:23:40,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/INTEROP                       0001 started                                                           ,    ,R3TR IWSV /UI2/INTEROP                       0001,          ,                                
2/7/2025,12:23:51,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZESH_SEARCH_SRV_0001 started                                                                              ,    ,R3TR IWSG ZESH_SEARCH_SRV_0001                   ,          ,                                
2/7/2025,12:23:51,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV ESH_SEARCH_SRV                     0001 started                                                           ,    ,R3TR IWSV ESH_SEARCH_SRV                     0001,          ,                                
2/7/2025,12:23:51,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:51,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
